activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
8955162154,Morning Workout,2023-04-25,Functional-Cardio Workout,0,25.28,307,0,,NaN,,NaN,0,0,27,150.1,172,4.206666667,6,1,20,35,1,20,25,1,35,1,1,140,Medium Effort,3
8950135726,Afternoon Run,2023-04-24,Run,6.2,48.08,516,58,30.38881215,-97.73568367,30.38909672,-97.73618398,8.0892,18.9,24,154.9,177,6.861428571,7,10,40,50,5,20,30,5,35,15,20,230,High Effort,4
8946098423,Evening Run,2023-04-23,Run,5.09,30.52,398,46,30.38737625,-97.73669997,30.38895247,-97.73592188,10.4292,17.0892,19,156.5,178,5.08,6,10,25,35,5,30,30,5,35,30,20,225,High Effort,4
8933319679,Evening Workout,2023-04-21,Functional-Cardio Workout,0,65.75,253,0,,NaN,,NaN,0,0,30,94,147,13.14,5,1,50,25,1,5,15,10,25,1,1,134,Medium Effort,3
8927180344,Afternoon Run,2023-04-20,Run,7.5,55.22,643,82,30.38910007,-97.73568844,30.38926712,-97.73564436,8.4924,18.0972,32,160.8,174,6.895,8,10,45,60,5,30,25,5,35,15,20,250,High Effort,4
8921946221,Afternoon Mountain Bike Ride,2023-04-19,MountainBikeRide,12.23,54.33,390,141,30.40128032,-97.6867072,30.40148316,-97.68484935,16.8876,35.3088,29,126.3,154,27.155,2,20,0,35,10,10,15,15,5,20,30,160,High Effort,4
8915307196,Afternoon Workout,2023-04-18,Functional-Cardio Workout,0,30.9,347,0,,NaN,,NaN,0,0,30,144.2,177,6.172,5,1,25,35,1,15,30,5,25,1,1,139,Medium Effort,3
8909460172,Afternoon Run,2023-04-17,Run,6.06,45.2,512,93,30.38900385,-97.73580445,30.38915724,-97.73565886,8.082,13.4244,26,153.3,170,6.45,7,10,40,50,5,20,25,5,35,15,15,220,High Effort,4
8891796082,Evening Workout,2023-04-15,Functional-Cardio Workout,0,28.68,379,0,,NaN,,NaN,0,0,30,156.1,174,5.726,5,1,20,35,1,30,25,5,25,1,1,144,Medium Effort,3
8885873542,Afternoon Run,2023-04-13,Run,5.5,41.83,449,48,30.38884073,-97.73587461,30.38940341,-97.7355716,8.7444,14.5728,30,151.4,164,6.966666667,6,10,35,40,5,20,15,5,35,15,15,195,High Effort,4
8879705626,Afternoon Workout,2023-04-12,Functional-Cardio Workout,0,31.97,344,0,,NaN,,NaN,0,0,33,146.7,178,5.318333333,6,1,25,35,1,20,30,5,35,1,1,154,High Effort,4
