,activity_id,sport_type,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score
571,4804756058,Functional-Cardio Workout,1,30,35,1,20,30,20,5,1,1,144
572,4799257614,Functional-Cardio Workout,1,25,35,1,20,30,20,5,1,1,139
573,4792927722,Functional-Cardio Workout,1,35,40,1,15,25,20,5,1,1,144
574,4783185509,Functional-Cardio Workout,1,0,25,1,10,15,20,5,1,1,79
575,4773163688,Functional-Cardio Workout,1,35,25,1,10,15,20,5,1,1,114
576,4767157186,Functional-Cardio Workout,1,15,25,1,20,25,15,5,1,1,109
577,4763079712,Functional-Cardio Workout,1,30,35,1,20,30,20,5,1,1,144
578,4756274364,Functional-Cardio Workout,1,25,40,1,20,25,20,5,1,1,139
579,4747434122,Functional-Cardio Workout,1,20,35,1,15,35,15,5,1,1,129
580,4741205103,Functional-Cardio Workout,1,35,40,1,15,15,20,5,1,1,134
581,4734128026,Functional-Cardio Workout,1,15,25,1,15,25,15,5,1,1,104
582,4730136600,Functional-Cardio Workout,1,30,40,1,20,30,1,35,1,1,160
583,4724827491,Functional-Cardio Workout,1,25,35,1,20,35,20,5,1,1,144
584,4718449246,Functional-Cardio Workout,1,35,35,1,15,30,20,5,1,1,144
585,4707904863,Functional-Cardio Workout,1,30,40,1,15,25,5,25,1,1,144
586,4702683752,Functional-Cardio Workout,1,35,40,1,15,30,20,5,1,1,149
587,4697880004,Functional-Cardio Workout,1,50,60,1,15,25,20,5,1,1,179
588,4697090333,Functional-Cardio Workout,1,1,5,1,5,10,1,35,1,1,61
589,4691366730,Functional-Cardio Workout,1,45,40,1,10,25,20,5,1,1,149
590,4684363148,Functional-Cardio Workout,1,35,40,1,15,35,20,5,1,1,154
591,4681572902,Functional-Cardio Workout,1,15,25,1,15,30,15,5,1,1,109
592,4676730531,Functional-Cardio Workout,1,35,40,1,20,35,20,5,1,1,159
593,4670974590,Functional-Cardio Workout,1,25,15,1,5,15,20,5,1,1,89
594,4664901973,Functional-Cardio Workout,1,25,35,1,20,35,20,5,1,1,144
595,4659292830,Functional-Cardio Workout,1,35,40,1,15,30,20,5,1,1,149
596,4654675027,Functional-Cardio Workout,1,25,35,1,20,30,20,5,1,1,139
597,4648822139,Functional-Cardio Workout,1,35,40,1,15,30,20,5,1,1,149
598,4643647780,Functional-Cardio Workout,1,45,50,1,15,30,1,35,1,1,180
599,4632067500,Functional-Cardio Workout,1,25,35,1,20,30,1,35,1,1,150
600,4626041247,Functional-Cardio Workout,1,25,35,1,20,30,10,5,1,1,129
601,4620671164,Functional-Cardio Workout,1,0,40,1,10,30,20,5,1,1,109
602,4616918075,Yoga,1,25,5,1,5,10,20,5,1,1,74
603,4612179691,Functional-Cardio Workout,1,5,15,1,30,35,1,25,1,1,115
604,4603864941,Functional-Cardio Workout,1,35,40,1,15,25,10,20,1,1,149
605,4601727285,Functional-Cardio Workout,1,20,25,1,20,30,5,20,1,1,124
606,4595027697,Functional-Cardio Workout,1,40,40,1,15,30,20,5,1,1,154
607,4589564300,Functional-Cardio Workout,1,35,35,1,15,30,15,5,1,1,139
608,4584977254,WeightTraining,1,35,35,1,15,30,20,5,1,1,144
609,4579063556,WeightTraining,1,30,40,1,20,25,20,5,1,1,144
610,4573463381,WeightTraining,1,25,25,1,10,15,20,5,1,1,104
611,4565923712,Functional-Cardio Workout,1,20,25,1,15,30,5,25,1,1,124
612,4551706506,Functional-Cardio Workout,1,25,35,1,20,30,20,5,1,1,139
613,4545915819,Functional-Cardio Workout,1,25,25,1,10,15,10,5,1,1,94
614,4536718987,WeightTraining,1,20,15,1,5,15,15,5,1,1,79
615,4517342532,WeightTraining,1,30,35,1,15,15,20,5,1,1,124
616,4513706567,Yoga,1,10,5,1,5,10,10,5,1,1,49
617,4509937522,Functional-Cardio Workout,1,40,40,1,20,30,10,20,1,1,164
618,4506326857,Functional-Cardio Workout,1,15,25,1,20,30,10,5,1,1,109
619,4501972950,WeightTraining,1,35,35,1,15,25,20,5,1,1,139
620,4498529130,Functional-Cardio Workout,1,20,35,1,20,35,5,25,1,1,144
621,4492718676,WeightTraining,1,25,35,1,20,30,20,5,1,1,139
622,4484917666,WeightTraining,1,5,15,1,15,15,10,5,1,1,69
623,4479520037,WeightTraining,1,5,15,1,20,30,10,5,1,1,89
624,4476585460,Ride,1,50,60,1,15,25,20,5,5,5,187
625,4472934653,WeightTraining,1,20,25,1,10,15,15,5,1,1,94
626,4472843503,Functional-Cardio Workout,1,1,5,1,15,15,5,5,1,1,50
627,4468614284,Functional-Cardio Workout,1,10,25,1,30,30,1,20,1,1,120
628,4468614083,Ride,15,50,40,5,10,15,20,5,15,20,195
629,4464258507,WeightTraining,1,15,15,1,15,15,15,5,1,1,84
630,4464175522,Ride,1,40,40,1,15,15,20,5,5,5,147
631,4447470450,Ride,1,0,40,1,15,25,20,5,5,5,117
632,4443800257,WeightTraining,1,1,5,1,10,15,5,5,1,1,45
633,4443766710,Functional-Cardio Workout,1,30,35,1,15,30,20,5,1,1,139
634,4433872817,Functional-Cardio Workout,1,25,35,1,15,30,5,35,1,1,149
635,4428490221,Functional-Cardio Workout,1,25,35,1,20,25,20,5,1,1,134
636,4426687692,Functional-Cardio Workout,1,15,25,1,30,30,15,5,1,1,124
637,4416547886,Run,10,0,50,5,15,15,5,35,15,20,170
638,4414219567,WeightTraining,1,15,25,1,15,25,15,5,1,1,104
639,4410131989,WeightTraining,1,40,25,1,10,15,20,5,1,1,119
640,4403171889,WeightTraining,1,25,35,1,20,25,20,5,1,1,134
641,4402983140,Functional-Cardio Workout,1,1,5,1,10,15,1,5,1,1,41
642,4395781145,Functional-Cardio Workout,1,1,5,1,15,15,1,5,1,1,46
643,4395762133,WeightTraining,1,35,25,1,10,15,20,5,1,1,114
644,4395672341,Functional-Cardio Workout,1,5,15,1,15,15,10,5,1,1,69
645,4388621298,Run,25,50,90,5,30,30,5,35,15,15,300
646,4386058345,WeightTraining,1,30,35,1,15,15,20,5,1,1,124
647,4385898009,Functional-Cardio Workout,1,1,15,1,30,25,5,5,1,1,85
648,4381362900,Run,1,5,5,1,5,5,10,5,1,1,39
649,4381303295,Run,1,1,5,1,5,5,5,5,1,1,30
650,4376927496,Run,30,50,100,5,5,5,20,5,15,20,255
651,4364591178,Run,1,1,5,1,5,5,5,5,1,1,30
